Play name: Aulularia,,,,,,,,,,,,,
Total Lines: 838(L),,,,,,,,,,,,,
Edition: Lindsay OCT,,,,,,,,,,,,,
,,,,,,,,,,,,,
Insult Speaker,Speaker Character Type,Speaker Status,Speaker Gender,Start Line,End Line,Insult Type,Insult Against,Insultee Character Type,Insultee status,Insultee gender,Insultee present?,Perceived Valence,Note(s)
Lar Familiaris,deus,divine,unclear,9,22,character critique,former householders,senes,free,male,no,frank criticism,The lar describes the history of the house and criticizes the miserly character of its previous (and current) owners
Euclio,senex,free,male,40,41,character critique,Staphyla,anus,enslaved,female,yes,paranoid hostility,Euclio is worried that Staphyla is spying on him
Euclio,senex,free,male,42,43,character critique,Staphyla,anus,enslaved,female,yes,paranoid hostility,Euclio is worried that Staphyla is spying on him
Euclio,senex,free,male,45,49,status critique,Staphyla,anus,enslaved,female,yes,malicious abuse,Euclio uses a slave-specific insult formula; on Staphyla's status — bookends://sonnysoftware.com/18380
Euclio,senex,free,male,52,64,status critique,Staphyla,anus,enslaved,female,yes,malicious abuse,Euclio mocks and threatens Staphyla based largely on her status; on Staphyla's status — bookends://sonnysoftware.com/18380
Staphyla,anus,enslaved,female,67,73,behavior critique,Euclio,senex,free,male,no,frank criticism,Staphyla thinks Euclio is going insane and comments on his increasingly irrational behavior — see hook://file/2BjKOPbfb?p=Vmltd2lraS9aZXR0ZWxfV2lraQ==&n=210817-1249-insanity_insults-a.wiki
Staphyla,anus,enslaved,female,81,84,behavior critique,Euclio,senex,free,male,yes,frank criticism,Staphyla remarks on the lack of food and supplies in the house (mocking Euclio's worry about thieves)
Euclio,senex,free,male,85,86,status critique,Staphyla,anus,enslaved,female,yes,malicious abuse,Euclio casually insults Staphyla despite her sound concern
Eunomia,matrona,free,female,123,126,character critique,women generally,abstraction,unclear,female,no,mild critique,"Eunomia casually comments that ""no women in history are ever quiet""; appears to be a cliche insult"
Eunomia,matrona,free,female,136,140,character critique,women generally,abstraction,unclear,female,no,mild critique,"Eunomia casually comments that ""one woman is worse than another"""
Euclio,senex,free,male,184,185,status critique,Megadorus,senex,free,male,yes (but unhearing),paranoid hostility,Euclio interprets Megadorus' friendly greeting as a stratagem to rob him (because M is wealthy)
Euclio,senex,free,male,188,189,behavior critique,Staphyla,anus,enslaved,female,no,paranoid hostility,"Euclio believes that Staphyla has found and ""revealed"" his hidden gold to Megadorus"
Euclio,senex,free,male,194,198,status critique,Megadorus,senex,free,male,yes (but unhearing),paranoid hostility,"Euclio interprets Megadorus' friendly greeting as a stratagem to rob him (because M is wealthy); compares him to a ""hungry octopus"" (!!!)"
Megadorus,senex,free,male,204,206,status critique,Euclio,senex,free,male,no,accidental insult,Megadorus admits that Euclio seems to have been insulted by him; but M also comments on Euclio's miserliness
Euclio,senex,free,male,220,222,status critique,Megadorus,senex,free,male,yes,accidental insult,Euclio believes that the wealthy Megadorus is mocking him by asking to marry Euclio's dowry-less daughter
